iter	Passed	Remaining
0	142	142498
1	143	71476
2	143	47818
3	144	35972
4	145	28869
5	145	24126
6	146	20735
7	146	18190
8	147	16214
9	147	14629
10	148	13332
11	148	12253
12	149	11339
13	150	10569
14	150	9893
15	151	9299
16	151	8773
17	152	8305
18	152	7887
19	153	7509
20	153	7169
21	154	6859
22	154	6578
23	155	6319
24	156	6084
25	156	5865
26	157	5665
27	157	5478
28	158	5303
29	158	5139
30	159	4989
31	160	4847
32	160	4711
33	161	4584
34	161	4463
35	162	4349
36	162	4242
37	163	4140
38	164	4043
39	164	3951
40	165	3863
41	165	3780
42	166	3701
43	166	3625
44	167	3552
45	167	3483
46	168	3419
47	169	3356
48	170	3305
49	171	3249
50	171	3196
51	172	3143
52	173	3092
53	173	3041
54	174	2993
55	174	2946
56	175	2901
57	175	2858
58	176	2815
59	177	2775
60	177	2737
61	178	2699
62	178	2661
63	179	2625
64	180	2590
65	180	2556
66	181	2524
67	181	2492
68	182	2460
69	182	2430
70	183	2403
71	184	2375
72	184	2348
73	185	2321
74	186	2294
75	186	2269
76	187	2244
77	187	2220
78	188	2196
79	188	2173
80	189	2150
81	190	2127
82	190	2103
83	190	2081
84	191	2061
85	191	2040
86	192	2020
87	193	2002
88	193	1983
89	194	1965
90	194	1947
91	195	1929
92	196	1911
93	196	1895
94	197	1878
95	197	1861
96	198	1845
97	198	1829
98	199	1814
99	199	1799
100	200	1785
101	201	1770
102	201	1756
103	202	1744
104	203	1730
105	203	1717
106	204	1704
107	204	1691
108	205	1679
109	206	1667
110	206	1654
111	207	1642
112	207	1630
113	208	1619
114	208	1608
115	209	1596
116	209	1584
117	210	1574
118	211	1563
119	211	1553
120	212	1542
121	212	1531
122	213	1521
123	213	1511
124	214	1502
125	215	1493
126	215	1482
127	216	1473
128	216	1463
129	217	1454
130	217	1445
131	218	1436
132	219	1428
133	219	1419
134	220	1411
135	220	1402
136	221	1394
137	221	1386
138	222	1378
139	223	1369
140	223	1362
141	223	1353
142	224	1345
143	225	1338
144	225	1330
145	226	1323
146	226	1316
147	227	1308
148	227	1301
149	228	1294
150	228	1287
151	229	1280
152	230	1273
153	230	1266
154	231	1260
155	231	1254
156	232	1247
157	233	1241
158	233	1235
159	234	1230
160	234	1223
161	235	1217
162	235	1211
163	236	1205
164	236	1199
165	237	1193
166	238	1187
167	238	1182
168	239	1176
169	239	1171
170	240	1165
171	241	1160
172	241	1154
173	242	1149
174	242	1144
175	243	1139
176	243	1134
177	244	1128
178	245	1124
179	245	1119
180	246	1114
181	246	1109
182	247	1105
183	248	1100
184	248	1096
185	250	1095
186	251	1092
187	251	1087
188	252	1083
189	252	1078
190	253	1073
191	254	1069
192	254	1064
193	255	1060
194	255	1055
195	256	1051
196	256	1047
197	257	1043
198	258	1039
199	259	1036
200	259	1032
201	260	1028
202	261	1024
203	261	1020
204	262	1016
205	262	1012
206	263	1008
207	263	1004
208	264	1001
209	265	996
210	265	993
211	266	989
212	266	985
213	267	982
214	268	978
215	268	975
216	269	971
217	269	967
218	270	964
219	270	960
220	271	956
221	272	953
222	272	949
223	273	946
224	273	942
225	274	939
226	274	936
227	275	932
228	276	929
229	276	926
230	277	923
231	277	919
232	278	916
233	278	913
234	279	909
235	280	906
236	280	903
237	281	900
238	281	897
239	282	894
240	282	891
241	283	888
242	284	885
243	284	882
244	285	879
245	286	876
246	286	873
247	287	871
248	287	868
249	288	865
250	289	862
251	289	860
252	290	857
253	290	854
254	291	851
255	292	848
256	292	846
257	293	843
258	293	840
259	294	838
260	295	836
261	296	834
262	296	831
263	297	829
264	297	826
265	298	823
266	299	821
267	299	818
268	300	816
269	300	813
270	301	811
271	302	808
272	302	806
273	303	803
274	303	800
275	304	798
276	305	796
277	305	794
278	306	791
279	306	789
280	307	787
281	308	784
282	308	782
283	309	780
284	310	777
285	310	776
286	311	773
287	312	772
288	313	770
289	313	767
290	314	765
291	314	763
292	315	761
293	316	758
294	316	756
295	317	754
296	317	752
297	318	750
298	319	748
299	319	746
300	320	744
301	321	742
302	321	740
303	322	737
304	322	735
305	323	733
306	323	731
307	324	729
308	325	727
309	325	725
310	326	723
311	327	721
312	327	719
313	328	716
314	328	714
315	329	713
316	330	711
317	330	709
318	331	706
319	331	704
320	332	702
321	332	700
322	333	698
323	333	696
324	334	694
325	335	693
326	336	691
327	336	689
328	337	688
329	337	686
330	338	684
331	339	682
332	339	680
333	340	678
334	340	676
335	341	674
336	342	672
337	342	671
338	343	669
339	344	667
340	344	666
341	345	664
342	346	662
343	346	661
344	347	659
345	347	657
346	348	656
347	349	654
348	350	652
349	350	651
350	351	649
351	352	648
352	352	646
353	353	644
354	354	643
355	354	641
356	355	640
357	356	638
358	356	636
359	357	635
360	357	633
361	358	631
362	359	630
363	359	628
364	360	626
365	360	625
366	361	623
367	362	622
368	362	620
369	363	618
370	364	617
371	364	615
372	365	614
373	365	612
374	366	611
375	367	609
376	367	607
377	368	605
378	368	604
379	369	602
380	369	600
381	370	599
382	370	597
383	371	595
384	372	594
385	372	592
386	373	591
387	373	589
388	374	587
389	374	586
390	375	584
391	375	582
392	376	581
393	376	579
394	377	578
395	377	576
396	378	575
397	379	573
398	379	572
399	380	570
400	380	569
401	381	567
402	382	566
403	382	564
404	383	563
405	384	561
406	384	560
407	385	558
408	385	557
409	386	555
410	386	554
411	387	552
412	388	551
413	388	549
414	389	548
415	389	546
416	390	545
417	390	544
418	391	542
419	392	541
420	392	540
421	393	538
422	394	537
423	394	536
424	395	534
425	395	533
426	396	532
427	397	530
428	397	529
429	398	528
430	399	526
431	399	525
432	400	523
433	400	522
434	401	521
435	401	519
436	402	518
437	402	516
438	403	515
439	404	514
440	404	512
441	405	511
442	406	510
443	406	509
444	407	508
445	408	506
446	408	505
447	409	504
448	409	503
449	410	501
450	411	500
451	411	499
452	412	497
453	412	496
454	413	495
455	413	493
456	414	492
457	414	491
458	415	489
459	416	488
460	416	487
461	417	486
462	417	484
463	418	483
464	418	482
465	419	480
466	420	479
467	420	478
468	421	476
469	421	475
470	422	474
471	422	473
472	423	471
473	423	470
474	424	469
475	425	468
476	425	466
477	426	465
478	427	464
479	427	463
480	428	462
481	428	460
482	429	459
483	430	458
484	430	457
485	431	456
486	431	455
487	432	453
488	433	452
489	433	451
490	434	450
491	435	449
492	435	448
493	436	447
494	437	446
495	438	445
